;citrus;lemon;grapefruit;orange;pineapple;grape;strawberry;apple;pear;peach;banana;rose;violet;lavender;cologne;perfume;honey;cherry;berry;almond;clove;cinnamon;tea;oak;cedar;mothball;peppermint;camphor;eucalyptus;chocolate;vanilla;syrup;caramel;raisin;coconut;anise;licorice;detergent;gasoline;solvent;turpentine;pine;geranium;celery;vegetable;weed;grass;cucumber;hay;bakery;bread;beer;leather;cardboard;rope;potato;mouse;mushroom;peanut;egg;birch;cork;incense;coffee;tar;creosote;disinfectant;vinegar;ammonia;urine;rubber;kerosene;paint;varnish;popcorn;cheese;garlic;onion;blood;animal;manure;bark
citrus;0.0;0.02376902096065725;0.06580460821442641;0.041059867662857685;0.30050676156000344;0.37195363448475693;0.3544155008650564;0.5547277952755006;0.28869955580615186;0.26428498685408863;0.4595062431105039;0.4516300278525771;0.43551947993479506;0.3961297304690979;0.35604240305743695;0.3535418437883925;0.43042018345628075;0.3752356792216466;0.3752356792216466;0.5437894392899656;0.5239407973499236;0.5267024993937521;0.4633488331283695;0.5418668712654414;0.54356854337078;0.5613762755895975;0.49781296826599225;0.5343874199139063;0.4942230732117522;0.535328663158791;0.5221929352014308;0.5388421144115111;0.544052037504283;0.43394665157762485;0.5093159750558448;0.5156353529350306;0.5156353529350306;0.5557664423084478;0.582289288823882;0.582289288823882;0.5119366920280816;0.5119366920280816;0.41722358393056325;0.5308596606056118;0.5063156883333909;0.4989267034531233;0.47818695221750296;0.43530479614473494;0.5711653782100079;0.5288255097151158;0.5288255097151158;0.49783332356821924;0.59928188815454;0.6097005189331088;0.5848617384654059;0.5489001323125324;0.6198522088874063;0.5349426593233356;0.5496952086285332;0.5483540720124281;0.5533779835266974;0.6015945064732152;0.43344735011830826;0.5439804682171585;0.6078670684270489;0.5905515268207409;0.560682805156635;0.5038930021085666;0.5729157705794444;0.5821073254495563;0.5855244267520533;0.5663324007955941;0.5478818607846048;0.5335926074819702;0.5459007656513774;0.5255033874516505;0.5677316670424979;0.5677316670424979;0.598751596901818;0.6180142533199222;0.5836134296596416;0.5533779835266974
lemon;0.02376902096065725;6.661338147750939e-16;0.07632473010243768;0.0966959330352346;0.3767109818243608;0.4461905119227038;0.4387273706844138;0.5444992112437851;0.3696661338164236;0.35513429338422275;0.5010609088884587;0.4611889738110609;0.4559084335602865;0.41503830954516996;0.365975262127465;0.38328631472594776;0.4589433908029148;0.4566609458585692;0.4566609458585692;0.5493979934047375;0.5190768055767065;0.5206708331861709;0.45974221498480144;0.5327389610546605;0.5281171865436554;0.5485548926891702;0.4932939746464065;0.5094416077813527;0.4730124112331337;0.5292669200184316;0.5264230995047839;0.5326610651696084;0.5406479279741403;0.47048198476389136;0.5149957461297611;0.5171126011503124;0.5171126011503124;0.5318545740165731;0.5604732252760259;0.5604732252760259;0.48374904511043393;0.48374904511043393;0.4134546414001078;0.5203949410738714;0.5018611113911317;0.48721587257826293;0.473212092159651;0.42644173488136583;0.5603852124406694;0.5210856804476419;0.5210856804476419;0.5317560267385294;0.5817245343004231;0.600742231548373;0.5750390729930058;0.5420202618469024;0.5961159265688598;0.5246408749937543;0.5417848177323759;0.5384967568133072;0.5379230223390989;0.5967063422668564;0.44496724861488995;0.5362988471361219;0.5863560990538853;0.5669204976732977;0.5356803042791712;0.4925974778535952;0.5454402489583725;0.5665393718476207;0.5693285792900346;0.5421584188467585;0.5270449253721557;0.5151317404444018;0.5356915242309033;0.5065248147289599;0.5528685365785806;0.5528685365785806;0.5781610790700019;0.5958788017467821;0.5691834788589932;0.5379230223390989
grapefruit;0.06580460821442641;0.07632473010243768;0.0;0.09700439728611698;0.3662700062096948;0.4756730325684715;0.4574018852653605;0.5541013112290529;0.3644563785713799;0.3764053833844652;0.49538587205712387;0.4707214369208521;0.4765622392293575;0.44601856473970014;0.4058749311656573;0.41538826201744017;0.4813899013947395;0.4749711102994964;0.4749711102994964;0.5574600164021454;0.5263871310722458;0.5331405265382733;0.4630424131861274;0.523214472760418;0.5078932055606976;0.5448710952902283;0.5047989118503605;0.5257092072089482;0.49111842809998896;0.5297285109192487;0.5328838250019481;0.53086485834056;0.5416765477259015;0.48590382941578186;0.5241827356882194;0.5159052600695563;0.5159052600695563;0.5338457869109221;0.5561808837237806;0.5561808837237806;0.4854817117321851;0.4854817117321851;0.39156425698645003;0.5019313851877578;0.46582915693306987;0.4468489601964508;0.43653803613271386;0.3734501619536011;0.5470430667156282;0.5266106603822016;0.5266106603822016;0.5335868328315215;0.575670580846242;0.5753806089102909;0.5219063172407865;0.5262341757161717;0.5907965529494588;0.4882096418130027;0.5430826748490248;0.535943091976196;0.5051197429530486;0.5583423884631772;0.4718741620263092;0.539013141102134;0.5807215879251699;0.5613582719548142;0.5436128575555872;0.49551292095193056;0.5506216709242723;0.5636489638747626;0.5522466554600419;0.5374675897834564;0.5230969127216609;0.5144342470851111;0.5366780412541285;0.5271777372410624;0.5524938032261929;0.5524938032261929;0.5721709995045361;0.5974771851256089;0.5679284349268756;0.5051197429530486
orange;0.041059867662857685;0.0966959330352346;0.09700439728611698;1.1102230246251565e-16;0.2977683286269416;0.3541764474615981;0.34122266787584404;0.5473537506924097;0.2828849539834397;0.2560415353506847;0.4497540925394876;0.46427433211504254;0.4395038448022585;0.4138886034266045;0.3875766254660935;0.3657925074936653;0.4290867039170527;0.3637373239608932;0.3637373239608932;0.5458340007781277;0.5021865840216648;0.5090103056711678;0.46345073191784425;0.5465314191166909;0.5495706968124953;0.56039845306868;0.5106420022157753;0.5504568491856369;0.5106819007611277;0.5287659307181595;0.5159227779378183;0.5264676571568491;0.5296361252438714;0.4033881810382296;0.5163461060850577;0.5143213540098078;0.5143213540098078;0.5700820087631868;0.5844030742360742;0.5844030742360742;0.5432286265325031;0.5432286265325031;0.44069771214583975;0.5294679871042536;0.510918070585765;0.5166715263151758;0.5023200112514515;0.437590245714152;0.5817707487688282;0.5189675670297939;0.5189675670297939;0.48945901740972303;0.5931374606122443;0.6113041905520582;0.5847908886507917;0.5424455711717402;0.6056637270775156;0.5357467185421111;0.5424646142906908;0.5208977212518964;0.5589922279410865;0.5872610740869882;0.44396438195314236;0.5323295181118106;0.6005360171026242;0.5902012690062474;0.5720927518871082;0.4973983397694399;0.5800000609087146;0.5779935606526924;0.5791650322983694;0.5724000777471914;0.5568624952102993;0.5389784690330426;0.5389148460311858;0.5378410882677277;0.5598033505441131;0.5598033505441131;0.5893512719304183;0.6071083535776156;0.5755128204135125;0.5589922279410865
pineapple;0.30050676156000344;0.3767109818243608;0.3662700062096948;0.2977683286269416;1.1102230246251565e-15;0.32787936046795335;0.25321477178377094;0.5073174694628756;0.10243094998309005;0.18607571648713267;0.3311463487589731;0.5007752346896939;0.4746168646149238;0.4540742983674555;0.46778101336924227;0.4291896581877579;0.4039154601561892;0.26829794307920646;0.26829794307920646;0.5255095352701468;0.5193542966776568;0.5165822734870432;0.5171559842017912;0.5574321609080096;0.5594280610884727;0.5565530851147719;0.4978190556059277;0.5594914304576372;0.5295943278586966;0.5113217582960229;0.48453855722506456;0.5038737155858503;0.4939360763067195;0.4623776289720754;0.47707839224397564;0.5143501015249381;0.5143501015249381;0.5722449895378996;0.5716998746652935;0.5716998746652935;0.5676071618145648;0.5676071618145648;0.523527546857921;0.5300812241563742;0.5172500830801894;0.5457790624765861;0.5095456568226597;0.5006729365101749;0.5758542379097549;0.5292086262074321;0.5292086262074321;0.44186328311629286;0.5803659866420882;0.5930763346667632;0.5887419649196111;0.5336778403592983;0.5796149696453854;0.5339968700568151;0.5394497943151337;0.5413076279570452;0.5568666443862224;0.5790018979992051;0.47518227654428236;0.5327059764162161;0.5904187895345383;0.5885635792114073;0.5806626619570066;0.49718503346949605;0.5832910994197111;0.5511387583526509;0.5803025158666681;0.5718095801772052;0.5585855888747394;0.5517982178148888;0.5345233946224378;0.5531943294367415;0.5532539571791958;0.5532539571791958;0.5622519735979675;0.5679228998408804;0.5388771844396094;0.5568666443862224
grape;0.37195363448475693;0.4461905119227038;0.4756730325684715;0.3541764474615981;0.32787936046795335;1.1102230246251565e-16;0.11267327114332476;0.5291481849247603;0.274044298549608;0.21165524435866767;0.42090377955067715;0.4516898798983992;0.39494761453117844;0.36520074742552366;0.4267606156153373;0.3686756858539504;0.34469724798199153;0.16106676412858628;0.16106676412858628;0.5098085608566396;0.522689078455751;0.5132615733571281;0.506724782715625;0.5467734780370525;0.5495355394983202;0.5336899279510317;0.49805847558536187;0.5452780069488482;0.5268965239728555;0.5213955039276633;0.4782998528623938;0.5126933222237762;0.5018341930987188;0.4117741333919067;0.5082943204368491;0.5136966215339254;0.5136966215339254;0.5725347306163333;0.575849924955543;0.575849924955543;0.572020783095713;0.572020783095713;0.5424274281727468;0.5420687259942183;0.5430634797758875;0.566494653420729;0.5517052618292242;0.5372872302053535;0.5672214405273196;0.5376621120781857;0.5376621120781857;0.41258098050357767;0.5908866466877145;0.5922946096901474;0.5871784918581353;0.5509448262188277;0.5845752447395706;0.5458209762613827;0.5314959708878297;0.5371887210064877;0.5860337067003876;0.5874038293736639;0.4001885597557263;0.5240423751952763;0.5748548735602705;0.5708499406121412;0.5611657929892987;0.5353549642231806;0.5975706252557679;0.5544547838776149;0.5653895519434589;0.5659276453875441;0.5819524014041194;0.5660401460147743;0.5317233146508978;0.5564597202205294;0.5441833774636167;0.5441833774636167;0.5694758842923223;0.5798563541051525;0.5456922515781429;0.5860337067003876
strawberry;0.3544155008650564;0.4387273706844138;0.4574018852653605;0.34122266787584404;0.25321477178377094;0.11267327114332476;1.2212453270876722e-15;0.5094629554814504;0.1937746968394467;0.10726706467180303;0.38367501487770284;0.43432216810044755;0.3896723598776387;0.39772518884631625;0.4295855354223115;0.3604318417926022;0.3493247582202758;0.11555408538257522;0.11555408538257522;0.5020174008310467;0.5322290984010816;0.5224159794169613;0.49970753020444886;0.5582131732018911;0.5472532564717518;0.5540903838938074;0.50472271631332;0.5667094807819946;0.5468115116551283;0.5162776533766003;0.4718142311084307;0.5176559500555655;0.5009133541290611;0.42363238685454374;0.496014742818472;0.5134696194344175;0.5134696194344175;0.5960957562511351;0.5965255294122525;0.5965255294122525;0.586091824577778;0.586091824577778;0.5116312840917338;0.5457480077823605;0.5416680089909358;0.5584311013136234;0.5318312822184733;0.5317881793994381;0.5623629990766987;0.5350031655601445;0.5350031655601445;0.34040001123361036;0.6085265059483898;0.5973010388597013;0.6025646545814487;0.5459802701561569;0.5939546050542047;0.5439604773729705;0.5441699027319414;0.548243341452502;0.5873027441535226;0.5942832835708978;0.4111090010080666;0.5347583793418375;0.5980743443073371;0.595452235586226;0.5885816860647041;0.5308219091364732;0.6092210403705612;0.5628434408640992;0.5858708264123208;0.5925358781698182;0.5958668233024474;0.5761377472168463;0.5411233671463873;0.5550525935436579;0.5570497277080406;0.5570497277080406;0.5666947333332505;0.5854521146332223;0.5545246713353028;0.5873027441535226
apple;0.5547277952755006;0.5444992112437851;0.5541013112290529;0.5473537506924097;0.5073174694628756;0.5291481849247603;0.5094629554814504;8.881784197001252e-16;0.5235256026689922;0.5267080979433802;0.5409840341669212;0.5656811474841887;0.5761288741306002;0.603911820569031;0.6126020566665479;0.6287542900729698;0.589537522234101;0.5493094553302288;0.5493094553302288;0.5315921212643614;0.5411081832301055;0.5141837878096015;0.5440567268999068;0.5752179835480333;0.5763187062825942;0.5602276779276406;0.5599799214769272;0.5829237005967217;0.5697311045938086;0.5212896938701568;0.5405572505428606;0.49162080079290227;0.5117942281228416;0.5347733024500566;0.5314046411032848;0.5454642306316768;0.5454642306316768;0.5705691992237639;0.5111602879370969;0.5111602879370969;0.5930636540919613;0.5930636540919613;0.5135499833645714;0.39978993474978647;0.42897207364250145;0.4435290427138281;0.4776395104838423;0.41626989025774985;0.466868354868977;0.46548975478582433;0.46548975478582433;0.4590613568552323;0.519093535095898;0.49339475075519773;0.40093180912582205;0.39315917160644115;0.4072750388103266;0.38429149431645915;0.4868357144414739;0.3915543143773231;0.572054280781426;0.5132733943863871;0.619200627008563;0.4841394036162486;0.4726426369592583;0.5159016899192485;0.5928306372015856;0.4148752115668512;0.5206988563616989;0.48988447114271705;0.42842897843560285;0.54676970022814;0.5589001086147423;0.5809870332064079;0.4033094961020531;0.5467334013760746;0.2107829645817329;0.2107829645817329;0.36388809040930414;0.4361302129482138;0.46059257760192307;0.572054280781426
pear;0.28869955580615186;0.3696661338164236;0.3644563785713799;0.2828849539834397;0.10243094998309005;0.274044298549608;0.1937746968394467;0.5235256026689922;0.0;0.11980238017221606;0.24937466508657496;0.4696094114356112;0.45305205167356094;0.4175402209750288;0.442548096015003;0.3905081778366434;0.37777913059770996;0.22828455518441337;0.22828455518441337;0.5436221436504204;0.4955014289481146;0.4725472413431369;0.4510238964451834;0.5653622307225254;0.5833516459943429;0.5749019113474646;0.4773775955909238;0.5506903062630075;0.5084165566741012;0.4957608123806685;0.47272657958312575;0.5313259231996905;0.5152665771757623;0.3494551145194986;0.4930572394677062;0.4992395565008704;0.4992395565008704;0.581061504147889;0.583404346191982;0.583404346191982;0.5697444016640879;0.5697444016640879;0.5049218615334362;0.5431911716330393;0.4844597502497421;0.5248463303328957;0.4862663132479151;0.468437900982874;0.5730909612523889;0.5536381691971684;0.5536381691971684;0.36331965946307465;0.6195613758802888;0.5971272756483247;0.6110961619605002;0.5400843303623996;0.6271073369832931;0.5232666456514293;0.5501166488364024;0.5818101417965659;0.5903729680868224;0.5941515651189426;0.4498872515253627;0.5526354522382805;0.6175414243205253;0.6104301527036289;0.5945719022186104;0.5344174318125606;0.6057181934401646;0.5823510172512046;0.6071783445586434;0.5784197177808287;0.5371346262662476;0.5406620958575464;0.5559794188392269;0.5358588399298612;0.5848054850156874;0.5848054850156874;0.6105922179275014;0.6158848788751006;0.5844214320072671;0.5903729680868224
peach;0.26428498685408863;0.35513429338422275;0.3764053833844652;0.2560415353506847;0.18607571648713267;0.21165524435866767;0.10726706467180303;0.5267080979433802;0.11980238017221606;1.1102230246251565e-15;0.3579595384113031;0.4328692016745554;0.4003891977355467;0.37363261396973874;0.39800922210456513;0.33170772423861494;0.31578944739416304;0.15087030962346515;0.15087030962346515;0.46964930504292346;0.5137179217293132;0.4838278424760574;0.4713241384745631;0.5521046318210031;0.5788200442761;0.579152058817693;0.5032422197153716;0.5796579426558885;0.549844545194359;0.5129102358212841;0.4550705267022671;0.5311339378335741;0.5093287729132828;0.3580339305559283;0.44109302337655265;0.5039863600667362;0.5039863600667362;0.6158534540114937;0.6172738831249045;0.6172738831249045;0.6029060803020437;0.6029060803020437;0.47543171761468167;0.5468395163670287;0.5219999644532011;0.5362850439943057;0.4925470832134966;0.49394655882085453;0.5194075969692373;0.5320182252441239;0.5320182252441239;0.3812073781024927;0.6098962336450547;0.590326806058073;0.5997555553385712;0.5349432277429206;0.6193883038229954;0.535319206681427;0.5602126605369925;0.5543772308483754;0.5887831416574187;0.575389277262599;0.4050097682156669;0.5481214747206414;0.6327526684612088;0.6302601845750708;0.6089774054997502;0.5274392902134761;0.6319961201363098;0.5776198596568454;0.6139941828436974;0.6139758217721114;0.5987192825160789;0.578983018811139;0.5565520795311945;0.5383914518934348;0.5842128583577841;0.5842128583577841;0.5913328540420311;0.6035967400479614;0.5762195971664146;0.5887831416574187
